time,DNI,DHI,Reflected,H_sun,Temperature,WindSpeed,Int,ts,GHI,T_cell,P_DC_kW,P_AC_kW
20200102:1930,0.0,0.0,0.0,0.0,18.52,2.34,0.0,2020-01-02 19:30:00+00:00,0.0,18.52,0.0,0.0
20200102:2030,0.0,0.0,0.0,0.0,18.14,2.34,0.0,2020-01-02 20:30:00+00:00,0.0,18.14,0.0,0.0
20200102:2130,0.0,0.0,0.0,0.0,18.06,2.41,0.0,2020-01-02 21:30:00+00:00,0.0,18.06,0.0,0.0
20200102:2230,0.0,0.0,0.0,0.0,17.86,2.55,0.0,2020-01-02 22:30:00+00:00,0.0,17.86,0.0,0.0
20200102:2330,0.0,0.0,0.0,0.0,17.62,2.83,0.0,2020-01-02 23:30:00+00:00,0.0,17.62,0.0,0.0
20200103:0030,0.0,0.0,0.0,-4.52,17.66,3.03,0.0,2020-01-03 00:30:00+00:00,0.0,17.66,0.0,0.0
20200103:0130,18.55,33.65,0.0,7.9,17.39,3.03,0.0,2020-01-03 01:30:00+00:00,52.2,19.021250000000002,5.351078115000001,5.190545771550001
20200103:0230,37.65,90.95,0.0,19.52,17.7,2.83,0.0,2020-01-03 02:30:00+00:00,128.6,21.71875,13.037226875,12.64611006875
20200103:0330,113.4,119.9,0.0,29.84,18.63,3.03,0.0,2020-01-03 03:30:00+00:00,233.3,25.920625,23.239791638750003,22.5425978895875
20200103:0430,55.45,197.15,0.0,38.09,19.99,3.66,0.0,2020-01-03 04:30:00+00:00,252.60000000000002,27.88375,24.954057195000004,24.205435479150005
20200103:0530,21.15,126.8,0.0,43.13,20.75,3.17,0.0,2020-01-03 05:30:00+00:00,147.95,25.3734375,14.7717949671875,14.328641118171875
20200103:0630,51.75,117.0,0.0,43.92,20.32,2.28,0.0,2020-01-03 06:30:00+00:00,168.75,25.5934375,16.832940117187498,16.32795191367187
20200103:0730,66.45,119.55,0.0,40.24,19.98,1.79,0.0,2020-01-03 07:30:00+00:00,186.0,25.7925,18.538089900000003,17.981947203
20200103:0830,10.95,119.45,0.0,32.96,20.01,1.86,0.0,2020-01-03 08:30:00+00:00,130.4,24.085,13.090112720000002,12.697409338400002
20200103:0930,63.15,65.0,0.0,23.24,20.06,1.86,0.0,2020-01-03 09:30:00+00:00,128.15,24.064687499999998,12.8653413246875,12.479381084946876
20200103:1030,4.75,25.0,0.0,12.0,20.07,1.31,0.0,2020-01-03 10:30:00+00:00,29.75,20.9996875,3.0249839046874993,2.934234387546874
20200103:1130,0.0,0.0,0.0,-0.18,19.49,1.24,0.0,2020-01-03 11:30:00+00:00,0.0,19.49,0.0,0.0
20200103:1230,0.0,0.0,0.0,0.0,18.95,1.31,0.0,2020-01-03 12:30:00+00:00,0.0,18.95,0.0,0.0
20200103:1330,0.0,0.0,0.0,0.0,18.39,1.17,0.0,2020-01-03 13:30:00+00:00,0.0,18.39,0.0,0.0
20200103:1430,0.0,0.0,0.0,0.0,17.85,1.52,0.0,2020-01-03 14:30:00+00:00,0.0,17.85,0.0,0.0
20200103:1530,0.0,0.0,0.0,0.0,17.38,1.66,0.0,2020-01-03 15:30:00+00:00,0.0,17.38,0.0,0.0
20200103:1630,0.0,0.0,0.0,0.0,17.08,1.52,0.0,2020-01-03 16:30:00+00:00,0.0,17.08,0.0,0.0
20200103:1730,0.0,0.0,0.0,0.0,16.84,1.59,0.0,2020-01-03 17:30:00+00:00,0.0,16.84,0.0,0.0
20200103:1830,0.0,0.0,0.0,0.0,16.76,1.66,0.0,2020-01-03 18:30:00+00:00,0.0,16.76,0.0,0.0
20200103:1930,0.0,0.0,0.0,0.0,16.91,0.34,0.0,2020-01-03 19:30:00+00:00,0.0,16.91,0.0,0.0
20200103:2030,0.0,0.0,0.0,0.0,15.95,1.31,0.0,2020-01-03 20:30:00+00:00,0.0,15.95,0.0,0.0
20200103:2130,0.0,0.0,0.0,0.0,15.44,1.59,0.0,2020-01-03 21:30:00+00:00,0.0,15.44,0.0,0.0
20200103:2230,0.0,0.0,0.0,0.0,15.31,1.31,0.0,2020-01-03 22:30:00+00:00,0.0,15.31,0.0,0.0
20200103:2330,0.0,0.0,0.0,0.0,15.22,1.1,0.0,2020-01-03 23:30:00+00:00,0.0,15.22,0.0,0.0
20200104:0030,0.0,0.0,0.0,-4.57,15.29,0.83,0.0,2020-01-04 00:30:00+00:00,0.0,15.29,0.0,0.0
20200104:0130,3.55,34.6,0.0,7.87,15.29,0.9,0.0,2020-01-04 01:30:00+00:00,38.15,16.4821875,3.951480909687499,3.832936482396874
20200104:0230,15.95,104.45,0.0,19.5,16.19,1.52,0.0,2020-01-04 02:30:00+00:00,120.4,19.9525,12.295241980000002,11.926384720600002
20200104:0330,114.95,177.65,0.0,29.85,16.79,1.52,0.0,2020-01-04 03:30:00+00:00,292.6,25.93375,29.145249595000003,28.27089210715
20200104:0430,217.75,155.3,0.0,38.12,18.91,1.45,0.0,2020-01-04 04:30:00+00:00,373.05,30.567812500000002,36.4326295696875,35.339650682596876
20200104:0530,246.15,172.35,0.0,43.21,20.29,1.31,0.0,2020-01-04 05:30:00+00:00,418.5,33.368125,40.37913466875,39.167760628687496
20200104:0630,165.9,205.5,0.0,44.03,21.16,1.1,0.0,2020-01-04 06:30:00+00:00,371.4,32.76625,35.928558194999994,34.850701449149994
20200104:0730,131.45,213.95,0.0,40.37,21.47,0.48,0.0,2020-01-04 07:30:00+00:00,345.4,32.26375,33.486262315,32.48167444555
20200104:0830,17.95,141.6,0.0,33.1,21.91,0.34,0.0,2020-01-04 08:30:00+00:00,159.54999999999998,26.8959375,15.827951332187496,15.35311279222187
20200104:0930,31.1,124.55,0.0,23.38,21.81,0.41,0.0,2020-01-04 09:30:00+00:00,155.65,26.674062499999998,15.455561512187503,14.991894666821876
20200104:1030,8.75,47.45,0.0,12.14,21.8,0.55,0.0,2020-01-04 10:30:00+00:00,56.2,23.556250000000002,5.654078275000001,5.484455926750001
20200104:1130,0.0,0.0,0.0,-0.05,21.4,0.55,0.0,2020-01-04 11:30:00+00:00,0.0,21.4,0.0,0.0
20200104:1230,0.0,0.0,0.0,0.0,20.92,0.97,0.0,2020-01-04 12:30:00+00:00,0.0,20.92,0.0,0.0
20200104:1330,0.0,0.0,0.0,0.0,20.22,1.24,0.0,2020-01-04 13:30:00+00:00,0.0,20.22,0.0,0.0
20200104:1430,0.0,0.0,0.0,0.0,19.6,1.31,0.0,2020-01-04 14:30:00+00:00,0.0,19.6,0.0,0.0
20200104:1530,0.0,0.0,0.0,0.0,19.15,1.31,0.0,2020-01-04 15:30:00+00:00,0.0,19.15,0.0,0.0
20200104:1630,0.0,0.0,0.0,0.0,18.82,1.24,0.0,2020-01-04 16:30:00+00:00,0.0,18.82,0.0,0.0
20200104:1730,0.0,0.0,0.0,0.0,18.53,1.24,0.0,2020-01-04 17:30:00+00:00,0.0,18.53,0.0,0.0
20200104:1830,0.0,0.0,0.0,0.0,18.33,1.1,0.0,2020-01-04 18:30:00+00:00,0.0,18.33,0.0,0.0
20200104:1930,0.0,0.0,0.0,0.0,16.65,0.83,0.0,2020-01-04 19:30:00+00:00,0.0,16.65,0.0,0.0
20200104:2030,0.0,0.0,0.0,0.0,15.92,0.83,0.0,2020-01-04 20:30:00+00:00,0.0,15.92,0.0,0.0
20200104:2130,0.0,0.0,0.0,0.0,16.25,0.48,0.0,2020-01-04 21:30:00+00:00,0.0,16.25,0.0,0.0
20200104:2230,0.0,0.0,0.0,0.0,16.28,0.41,0.0,2020-01-04 22:30:00+00:00,0.0,16.28,0.0,0.0
20200104:2330,0.0,0.0,0.0,0.0,15.53,0.9,0.0,2020-01-04 23:30:00+00:00,0.0,15.53,0.0,0.0
20200105:0030,0.0,0.0,0.0,-4.62,15.55,1.17,0.0,2020-01-05 00:30:00+00:00,0.0,15.55,0.0,0.0
20200105:0130,3.15,37.25,0.0,7.83,15.93,1.31,0.0,2020-01-05 01:30:00+00:00,40.4,17.1925,4.17247766,4.0473033302
20200105:0230,8.25,98.05,0.0,19.48,17.01,1.52,0.0,2020-01-05 02:30:00+00:00,106.3,20.331875,10.838413108749998,10.513260715487498
20200105:0330,46.6,115.65,0.0,29.86,17.98,2.14,0.0,2020-01-05 03:30:00+00:00,162.25,23.0503125,16.357861454687498,15.867125611046873
20200105:0430,50.25,142.0,0.0,38.17,18.56,2.69,0.0,2020-01-05 04:30:00+00:00,192.25,24.5678125,19.259896979687504,18.68210007029688
20200105:0530,37.7,197.35,0.0,43.29,19.1,2.9,0.0,2020-01-05 05:30:00+00:00,235.05,26.4453125,23.3623173046875,22.661447785546876
20200105:0630,89.05,244.55,0.0,44.15,19.96,2.76,0.0,2020-01-05 06:30:00+00:00,333.6,30.385,32.60549688,31.627331973599997
20200105:0730,184.05,204.9,0.0,40.51,20.71,2.48,0.0,2020-01-05 07:30:00+00:00,388.95000000000005,32.8646875,37.6102325146875,36.48192553924688
20200105:0830,289.11,143.75,0.0,33.25,21.41,2.55,0.0,2020-01-05 08:30:00+00:00,432.86,34.936875,41.47946420075,40.2350802747275
20200105:0930,172.2,100.8,0.0,23.53,21.83,2.76,0.0,2020-01-05 09:30:00+00:00,273.0,30.36125,26.685279075,25.88472070275
20200105:1030,53.35,65.25,0.0,12.28,21.58,2.97,0.0,2020-01-05 10:30:00+00:00,118.6,25.28625,11.845741315,11.49036907555
20200105:1130,0.0,8.3,0.0,0.09,20.75,2.41,0.0,2020-01-05 11:30:00+00:00,8.3,21.009375,0.84391131875,0.8185939791875
20200105:1230,0.0,0.0,0.0,0.0,19.26,2.0,0.0,2020-01-05 12:30:00+00:00,0.0,19.26,0.0,0.0
20200105:1330,0.0,0.0,0.0,0.0,18.17,1.86,0.0,2020-01-05 13:30:00+00:00,0.0,18.17,0.0,0.0
20200105:1430,0.0,0.0,0.0,0.0,17.28,1.86,0.0,2020-01-05 14:30:00+00:00,0.0,17.28,0.0,0.0
20200105:1530,0.0,0.0,0.0,0.0,16.21,1.79,0.0,2020-01-05 15:30:00+00:00,0.0,16.21,0.0,0.0
20200105:1630,0.0,0.0,0.0,0.0,15.11,1.86,0.0,2020-01-05 16:30:00+00:00,0.0,15.11,0.0,0.0
20200105:1730,0.0,0.0,0.0,0.0,14.3,1.93,0.0,2020-01-05 17:30:00+00:00,0.0,14.3,0.0,0.0
20200105:1830,0.0,0.0,0.0,0.0,13.67,2.07,0.0,2020-01-05 18:30:00+00:00,0.0,13.67,0.0,0.0
20200105:1930,0.0,0.0,0.0,0.0,13.15,1.79,0.0,2020-01-05 19:30:00+00:00,0.0,13.15,0.0,0.0
20200105:2030,0.0,0.0,0.0,0.0,12.55,1.79,0.0,2020-01-05 20:30:00+00:00,0.0,12.55,0.0,0.0
20200105:2130,0.0,0.0,0.0,0.0,12.02,1.72,0.0,2020-01-05 21:30:00+00:00,0.0,12.02,0.0,0.0
20200105:2230,0.0,0.0,0.0,0.0,11.61,1.86,0.0,2020-01-05 22:30:00+00:00,0.0,11.61,0.0,0.0
20200105:2330,0.0,0.0,0.0,0.0,11.22,1.66,0.0,2020-01-05 23:30:00+00:00,0.0,11.22,0.0,0.0
20200106:0030,0.0,0.0,0.0,-4.66,11.04,1.52,0.0,2020-01-06 00:30:00+00:00,0.0,11.04,0.0,0.0
20200106:0130,51.5,41.3,0.0,7.8,10.75,1.59,0.0,2020-01-06 01:30:00+00:00,92.8,13.65,9.7223776,9.430706272
20200106:0230,201.01,84.15,0.0,19.47,13.07,0.83,0.0,2020-01-06 02:30:00+00:00,285.15999999999997,21.98125,28.877547235,28.01122081795
20200106:0330,366.41,106.35,0.0,29.87,16.71,1.1,0.0,2020-01-06 03:30:00+00:00,472.76,31.48375,45.988591787000004,44.60893403339
20200106:0430,497.11,119.05,0.0,38.22,18.92,1.86,0.0,2020-01-06 04:30:00+00:00,616.16,38.175,58.20647863999999,56.46028428079999
20200106:0530,566.96,128.75,0.0,43.38,20.34,2.76,0.0,2020-01-06 05:30:00+00:00,695.71,42.080937500000005,64.5799808081875,62.642581383941874
20200106:0630,452.96,159.05,0.0,44.28,21.14,2.83,0.0,2020-01-06 06:30:00+00:00,612.01,40.2653125,57.27713996068749,55.55882576186686
20200106:0730,426.16,167.3,0.0,40.66,21.45,2.76,0.0,2020-01-06 07:30:00+00:00,593.46,39.995625000000004,55.608292482749995,53.940043708267496
20200106:0830,322.76,142.95,0.0,33.4,21.78,2.97,0.0,2020-01-06 08:30:00+00:00,465.71,36.3334375,44.3542000251875,43.02357402443187
20200106:0930,229.76,97.2,0.0,23.68,21.68,2.97,0.0,2020-01-06 09:30:00+00:00,326.96,31.8975,31.748813228,30.79634883116
20200106:1030,82.95,62.6,0.0,12.43,21.28,2.69,0.0,2020-01-06 10:30:00+00:00,145.55,25.8284375,14.5043567871875,14.069226083571875
20200106:1130,0.0,7.85,0.0,0.23,20.2,1.93,0.0,2020-01-06 11:30:00+00:00,7.85,20.4453125,0.8000168046874999,0.7760163005468749
20200106:1230,0.0,0.0,0.0,0.0,18.54,2.14,0.0,2020-01-06 12:30:00+00:00,0.0,18.54,0.0,0.0
20200106:1330,0.0,0.0,0.0,0.0,17.26,2.14,0.0,2020-01-06 13:30:00+00:00,0.0,17.26,0.0,0.0
20200106:1430,0.0,0.0,0.0,0.0,16.3,2.14,0.0,2020-01-06 14:30:00+00:00,0.0,16.3,0.0,0.0
20200106:1530,0.0,0.0,0.0,0.0,15.52,2.07,0.0,2020-01-06 15:30:00+00:00,0.0,15.52,0.0,0.0
20200106:1630,0.0,0.0,0.0,0.0,14.85,2.07,0.0,2020-01-06 16:30:00+00:00,0.0,14.85,0.0,0.0
20200106:1730,0.0,0.0,0.0,0.0,14.3,2.07,0.0,2020-01-06 17:30:00+00:00,0.0,14.3,0.0,0.0
20200106:1830,0.0,0.0,0.0,0.0,13.82,2.0,0.0,2020-01-06 18:30:00+00:00,0.0,13.82,0.0,0.0
20200106:1930,0.0,0.0,0.0,0.0,13.32,2.0,0.0,2020-01-06 19:30:00+00:00,0.0,13.32,0.0,0.0
20200106:2030,0.0,0.0,0.0,0.0,12.96,2.07,0.0,2020-01-06 20:30:00+00:00,0.0,12.96,0.0,0.0
20200106:2130,0.0,0.0,0.0,0.0,12.61,2.0,0.0,2020-01-06 21:30:00+00:00,0.0,12.61,0.0,0.0
20200106:2230,0.0,0.0,0.0,0.0,12.3,1.93,0.0,2020-01-06 22:30:00+00:00,0.0,12.3,0.0,0.0
20200106:2330,0.0,0.0,0.0,0.0,11.98,1.79,0.0,2020-01-06 23:30:00+00:00,0.0,11.98,0.0,0.0
20200107:0030,0.0,0.0,0.0,-4.71,11.62,1.72,0.0,2020-01-07 00:30:00+00:00,0.0,11.62,0.0,0.0
20200107:0130,49.5,40.15,0.0,7.78,11.3,1.79,0.0,2020-01-07 01:30:00+00:00,89.65,14.1015625,9.3753588671875,9.094098101171875
20200107:0230,195.11,83.05,0.0,19.47,13.0,1.1,0.0,2020-01-07 02:30:00+00:00,278.16,21.692500000000003,28.202405964,27.35633378508
20200107:0330,357.51,105.35,0.0,29.9,16.73,1.1,0.0,2020-01-07 03:30:00+00:00,462.86,31.194375,45.081806066750005,43.7293518847475
20200107:0430,486.41,118.65,0.0,38.28,18.9,1.59,0.0,2020-01-07 04:30:00+00:00,605.0600000000001,37.808125000000004,57.25113267275,55.5335986925675
20200107:0530,561.46,125.45,0.0,43.48,20.27,2.34,0.0,2020-01-07 05:30:00+00:00,686.9100000000001,41.735937500000006,63.862645212187516,61.94676585582189
20200107:0630,561.16,131.95,0.0,44.41,21.22,2.76,0.0,2020-01-07 06:30:00+00:00,693.1099999999999,42.879687499999996,64.10611211468749,62.18292875124686
20200107:0730,512.61,124.05,0.0,40.81,21.76,2.76,0.0,2020-01-07 07:30:00+00:00,636.66,41.655625,59.212332510749995,57.43596253542749
20200107:0830,383.91,121.1,0.0,33.55,22.27,2.9,0.0,2020-01-07 08:30:00+00:00,505.01,38.0515625,47.7327087771875,46.30072751387187
20200107:0930,245.41,95.3,0.0,23.83,22.33,2.76,0.0,2020-01-07 09:30:00+00:00,340.71,32.9771875,32.9294788276875,31.94159446285687
20200107:1030,92.8,59.6,0.0,12.57,22.06,2.41,0.0,2020-01-07 10:30:00+00:00,152.4,26.822499999999998,15.12334542,14.669645057399999
20200107:1130,0.0,9.3,0.0,0.37,21.12,1.59,0.0,2020-01-07 11:30:00+00:00,9.3,21.410625,0.9440200987499999,0.9156994957874999
20200107:1230,0.0,0.0,0.0,0.0,19.69,1.86,0.0,2020-01-07 12:30:00+00:00,0.0,19.69,0.0,0.0
20200107:1330,0.0,0.0,0.0,0.0,18.21,1.86,0.0,2020-01-07 13:30:00+00:00,0.0,18.21,0.0,0.0
20200107:1430,0.0,0.0,0.0,0.0,17.05,1.86,0.0,2020-01-07 14:30:00+00:00,0.0,17.05,0.0,0.0
20200107:1530,0.0,0.0,0.0,0.0,16.08,1.72,0.0,2020-01-07 15:30:00+00:00,0.0,16.08,0.0,0.0
20200107:1630,0.0,0.0,0.0,0.0,15.17,1.66,0.0,2020-01-07 16:30:00+00:00,0.0,15.17,0.0,0.0
20200107:1730,0.0,0.0,0.0,0.0,14.35,1.66,0.0,2020-01-07 17:30:00+00:00,0.0,14.35,0.0,0.0
20200107:1830,0.0,0.0,0.0,0.0,13.69,1.66,0.0,2020-01-07 18:30:00+00:00,0.0,13.69,0.0,0.0
20200107:1930,0.0,0.0,0.0,0.0,13.15,1.59,0.0,2020-01-07 19:30:00+00:00,0.0,13.15,0.0,0.0
20200107:2030,0.0,0.0,0.0,0.0,12.77,1.66,0.0,2020-01-07 20:30:00+00:00,0.0,12.77,0.0,0.0
20200107:2130,0.0,0.0,0.0,0.0,12.46,1.66,0.0,2020-01-07 21:30:00+00:00,0.0,12.46,0.0,0.0
20200107:2230,0.0,0.0,0.0,0.0,12.18,1.66,0.0,2020-01-07 22:30:00+00:00,0.0,12.18,0.0,0.0
20200107:2330,0.0,0.0,0.0,0.0,11.96,1.59,0.0,2020-01-07 23:30:00+00:00,0.0,11.96,0.0,0.0
20200108:0030,0.0,0.0,0.0,-4.74,11.84,1.45,0.0,2020-01-08 00:30:00+00:00,0.0,11.84,0.0,0.0
20200108:0130,44.2,42.1,0.0,7.76,11.87,1.38,0.0,2020-01-08 01:30:00+00:00,86.30000000000001,14.566875,9.00815904875,8.7379142772875
20200108:0230,185.31,88.45,0.0,19.47,14.17,0.69,0.0,2020-01-08 02:30:00+00:00,273.76,22.725,27.63757768,26.808450349599998
20200108:0330,359.16,104.9,0.0,29.92,17.94,0.83,0.0,2020-01-08 03:30:00+00:00,464.06000000000006,32.441875,44.95553986475,43.6068736688075
20200108:0430,460.26,132.85,0.0,38.34,20.06,1.45,0.0,2020-01-08 04:30:00+00:00,593.11,38.5946875,55.9244790566875,54.24674468498688
20200108:0530,552.51,133.45,0.0,43.59,21.37,1.79,0.0,2020-01-08 05:30:00+00:00,685.96,42.806250000000006,63.465962395,61.56198352315
20200108:0630,581.11,125.7,0.0,44.55,22.42,1.93,0.0,2020-01-08 06:30:00+00:00,706.8100000000001,44.5078125,64.88990687968752,62.94320967329689
20200108:0730,482.96,142.5,0.0,40.97,23.12,2.0,0.0,2020-01-08 07:30:00+00:00,625.46,42.665625000000006,57.90536043875,56.1681996255875
20200108:0830,357.56,132.8,0.0,33.72,23.49,2.0,0.0,2020-01-08 08:30:00+00:00,490.36,38.81375,46.191041611,44.80531036267
20200108:0930,237.11,104.85,0.0,23.99,23.52,2.28,0.0,2020-01-08 09:30:00+00:00,341.96000000000004,34.20625,32.87376891500001,31.887555847550004
20200108:1030,89.65,63.0,0.0,12.72,23.15,2.28,0.0,2020-01-08 10:30:00+00:00,152.65,27.920312499999998,15.077770004687501,14.625436904546875
20200108:1130,0.0,9.05,0.0,0.51,22.16,1.59,0.0,2020-01-08 11:30:00+00:00,9.05,22.4428125,0.9147198696875,0.887278273596875
20200108:1230,0.0,0.0,0.0,0.0,20.58,2.07,0.0,2020-01-08 12:30:00+00:00,0.0,20.58,0.0,0.0
20200108:1330,0.0,0.0,0.0,0.0,19.27,2.0,0.0,2020-01-08 13:30:00+00:00,0.0,19.27,0.0,0.0
20200108:1430,0.0,0.0,0.0,0.0,17.99,2.21,0.0,2020-01-08 14:30:00+00:00,0.0,17.99,0.0,0.0
20200108:1530,0.0,0.0,0.0,0.0,17.28,2.07,0.0,2020-01-08 15:30:00+00:00,0.0,17.28,0.0,0.0
20200108:1630,0.0,0.0,0.0,0.0,16.73,2.0,0.0,2020-01-08 16:30:00+00:00,0.0,16.73,0.0,0.0
20200108:1730,0.0,0.0,0.0,0.0,16.38,1.79,0.0,2020-01-08 17:30:00+00:00,0.0,16.38,0.0,0.0
20200108:1830,0.0,0.0,0.0,0.0,15.95,1.66,0.0,2020-01-08 18:30:00+00:00,0.0,15.95,0.0,0.0
20200108:1930,0.0,0.0,0.0,0.0,15.83,1.31,0.0,2020-01-08 19:30:00+00:00,0.0,15.83,0.0,0.0
20200108:2030,0.0,0.0,0.0,0.0,15.69,1.31,0.0,2020-01-08 20:30:00+00:00,0.0,15.69,0.0,0.0
20200108:2130,0.0,0.0,0.0,0.0,15.4,1.59,0.0,2020-01-08 21:30:00+00:00,0.0,15.4,0.0,0.0
20200108:2230,0.0,0.0,0.0,0.0,15.36,1.79,0.0,2020-01-08 22:30:00+00:00,0.0,15.36,0.0,0.0
