ts,source,severity,desc,message
2025-12-01T00:41:19,INV-02,High,,Low output 1.138 kW vs expected 20.93 kW
2025-12-01T00:41:19,INV-03,High,,Low output 1.209 kW vs expected 20.93 kW
2025-12-01T00:41:19,INV-04,High,,Low output 0.0 kW vs expected 20.93 kW
2025-12-01T00:41:19,INV-05,High,,Low output 1.212 kW vs expected 20.93 kW
2025-12-01T00:41:24,INV-01,High,,Low output 1.197 kW vs expected 21.24 kW
2025-12-01T00:41:24,INV-02,High,,Low output 1.225 kW vs expected 21.24 kW
2025-12-01T00:41:24,INV-03,High,,Low output 1.295 kW vs expected 21.24 kW
2025-12-01T00:41:24,INV-04,High,,Low output 1.289 kW vs expected 21.24 kW
2025-12-01T00:41:24,INV-05,High,,Low output 1.21 kW vs expected 21.24 kW
2025-12-01T00:41:29,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:29,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:29,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:29,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:29,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:34,INV-01,High,,Low output 1.353 kW vs expected 21.39 kW
2025-12-01T00:41:34,INV-02,High,,Low output 1.364 kW vs expected 21.39 kW
2025-12-01T00:41:34,INV-03,High,,Low output 1.406 kW vs expected 21.39 kW
2025-12-01T00:41:34,INV-04,High,,Low output 1.411 kW vs expected 21.39 kW
2025-12-01T00:41:34,INV-05,High,,Low output 1.436 kW vs expected 21.39 kW
2025-12-01T00:41:39,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:39,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:39,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:39,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:39,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:44,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:44,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:44,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:44,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:44,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:49,INV-01,High,,Low output 0.668 kW vs expected 20.68 kW
2025-12-01T00:41:49,INV-02,High,,Low output 0.713 kW vs expected 20.68 kW
2025-12-01T00:41:49,INV-03,High,,Low output 0.636 kW vs expected 20.68 kW
2025-12-01T00:41:49,INV-04,High,,Low output 0.652 kW vs expected 20.68 kW
2025-12-01T00:41:49,INV-05,High,,Low output 0.74 kW vs expected 20.68 kW
2025-12-01T00:41:54,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:54,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:54,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:54,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:54,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:59,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:59,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:59,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:59,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:59,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:04,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:04,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:04,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:04,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:04,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:09,INV-01,High,,Low output 0.503 kW vs expected 20.49 kW
2025-12-01T00:42:09,INV-02,High,,Low output 0.495 kW vs expected 20.49 kW
2025-12-01T00:42:09,INV-03,High,,Low output 0.464 kW vs expected 20.49 kW
2025-12-01T00:42:09,INV-04,High,,Low output 0.506 kW vs expected 20.49 kW
2025-12-01T00:42:09,INV-05,High,,Low output 0.486 kW vs expected 20.49 kW
2025-12-01T00:42:14,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:14,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:14,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:14,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:14,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:19,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:19,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:19,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:19,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:42:19,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T14:10:07,INV-04,High,,Low output 0.0 kW vs expected 53.37 kW
2025-12-01T14:11:37,INV-01,High,,Low output 0.0 kW vs expected 57.94 kW
2025-12-01T14:16:27,INV-02,High,,Low output 0.0 kW vs expected 55.45 kW
2025-12-01T14:17:07,INV-05,High,,Low output 0.0 kW vs expected 56.34 kW
2025-12-01T14:17:32,INV-04,High,,Low output 0.0 kW vs expected 50.0 kW
2025-12-01T14:24:07,INV-05,High,,Low output 0.0 kW vs expected 54.12 kW
2025-12-01T14:25:07,INV-04,High,,Low output 0.0 kW vs expected 53.44 kW
2025-12-01T14:26:07,INV-04,High,,Low output 0.0 kW vs expected 52.25 kW
2025-12-01T14:26:42,INV-04,High,,Low output 0.0 kW vs expected 55.2 kW
2025-12-01T14:30:07,INV-02,High,,Low output 0.0 kW vs expected 54.31 kW
2025-12-01T14:30:22,INV-03,High,,Low output 0.0 kW vs expected 55.46 kW
2025-12-03T14:48:33,INV-04,High,,Low output 0.0 kW vs expected 50.0 kW
2025-12-03T14:50:03,INV-01,High,,Low output 0.0 kW vs expected 51.1 kW
2025-12-03T14:54:53,INV-02,High,,Low output 0.0 kW vs expected 50.0 kW
2025-12-03T14:55:33,INV-05,High,,Low output 0.0 kW vs expected 50.0 kW
2025-12-03T14:55:58,INV-04,High,,Low output 0.0 kW vs expected 50.0 kW
2025-12-26T21:10:27,INV-04,Critical,,Inverter fault detected
2025-12-26T21:14:42,INV-03,Critical,,Inverter fault detected
2025-12-26T21:16:27,INV-05,Critical,,Inverter fault detected
2025-12-26T21:24:32,INV-04,Critical,,Inverter fault detected
2025-12-26T21:31:12,INV-03,Critical,,Inverter fault detected
2025-12-27T17:59:40,INV-04,Critical,,Inverter fault detected
2025-12-27T18:03:55,INV-03,Critical,,Inverter fault detected
2025-12-27T18:05:40,INV-05,Critical,,Inverter fault detected
